MT-ND1,NDUFA6
MT-ND1,NDUFA8
MT-ND1,NDUFA9
MT-ND1,NDUFAB1
MT-ND1,NDUFB1
MT-ND1,NDUFB10
MT-ND1,NDUFB11
MT-ND1,NDUFB2
MT-ND1,NDUFB5
MT-ND1,NDUFB3
MT-ND1,NDUFB4
MT-ND1,NDUFB7
MT-ND1,NDUFB8
MT-ND1,NDUFC1
MT-ND1,NDUFB9
MT-ND1,NDUFC2
MT-ND1,NDUFS3
MT-ND1,NDUFS1
MT-ND1,NDUFS4
MT-ND1,NDUFS5
MT-ND1,NDUFS2
MT-ND1,NDUFS7
MT-ND1,NDUFV1
MT-ND1,NDUFV3
MT-ND1,NDUFV2
MT-ND2,NDUFA10
MT-ND2,NDUFA11
MT-ND2,NDUFA13
MT-ND2,NDUFA3
MT-ND2,NDUFA4
MT-ND2,NDUFA12
MT-ND2,NDUFA2
MT-ND1,NDUFS6
MT-ND2,NDUFA1
MT-ND2,NDUFA5
MT-ND1,NDUFB6
MT-ND2,NDUFA6
MT-ND2,NDUFA7
MT-ND2,NDUFA9
MT-ND2,NDUFA8
MT-ND2,NDUFB11
MT-ND2,NDUFAB1
MT-ND2,NDUFB3
MT-ND2,NDUFB4
MT-ND2,NDUFB2
MT-ND2,NDUFB1
MT-ND2,NDUFB5
MT-ND2,NDUFB6
MT-ND2,NDUFB8
MT-ND2,NDUFB9
MT-ND2,NDUFB7
MT-ND2,NDUFC1
MT-ND2,NDUFC2
MT-ND2,NDUFS1
MT-ND2,NDUFB10
MT-ND2,NDUFS2
MT-ND2,NDUFS3
MT-ND2,NDUFS4
MT-ND2,NDUFS7
MT-ND2,NDUFS6
MT-ND2,NDUFS5
MT-ND2,NDUFV1
MT-ND2,NDUFV2
MT-ND2,NDUFV3
MT-ND3,MT-ND5
MT-ND3,MT-ND1
MT-ND3,MT-ND2
MT-ND3,MT-ND4
MT-ND3,NDUFA10
MT-ND3,NDUFA1
MT-ND3,MT-ND6
MT-ND3,NDUFA11
MT-ND3,NDUFA12
MT-ND3,NDUFA13
MT-ND3,NDUFA2
MT-ND3,NDUFA4
MT-ND3,NDUFA5
MT-ND3,NDUFA3
MT-ND3,NDUFA6
MT-ND3,NDUFA7
MT-ND3,NDUFA8
MT-ND3,NDUFA9
MT-ND3,NDUFAB1
MT-ND3,NDUFB10
MT-ND3,NDUFB11
MT-ND3,NDUFB1
MT-ND3,NDUFB2
MT-ND3,NDUFB3
MT-ND3,NDUFB4
MT-ND3,NDUFB6
MT-ND3,NDUFB5
MT-ND3,NDUFB7
MT-ND3,NDUFB9
MT-ND3,NDUFC1
MT-ND3,NDUFB8
MT-ND3,NDUFC2
MT-ND3,NDUFS1
MT-ND3,NDUFS2
MT-ND3,NDUFS3
MT-ND3,NDUFS4
MT-ND3,NDUFS5
MT-ND3,NDUFS6
MT-ND3,NDUFS7
MT-ND3,NDUFV1
MT-ND3,NDUFV3
MT-ND3,NDUFV2
MT-ND4,MT-ND2
MT-ND4,NDUFA1
MT-ND4,NDUFA10
MT-ND4,NDUFA12
MT-ND4,NDUFA13
MT-ND4,NDUFA11
MT-ND4,NDUFA2
MT-ND4,NDUFA4
MT-ND4,NDUFA3
MT-ND4,NDUFA6
MT-ND4,NDUFA7
MT-ND4,NDUFA5
MT-ND4,NDUFA8
MT-ND4,NDUFA9
MT-ND4,NDUFB1
MT-ND4,NDUFB10
MT-ND4,NDUFAB1
MT-ND4,NDUFB11
MT-ND4,NDUFB2
MT-ND4,NDUFB4
MT-ND4,NDUFB3
MT-ND4,NDUFB5
MT-ND4,NDUFB9
MT-ND4,NDUFB6
MT-ND4,NDUFB7
MT-ND4,NDUFC1
MT-ND4,NDUFC2
MT-ND4,NDUFB8
MT-ND4,NDUFS1
MT-ND4,NDUFS3
MT-ND4,NDUFS4
MT-ND4,NDUFS5
MT-ND4,NDUFS2
MT-ND4,NDUFS6
MT-ND4,NDUFS7
MT-ND4L,MT-ND2
MT-ND4,NDUFV3
MT-ND4,NDUFV1
MT-ND4L,MT-ND1
MT-ND4L,MT-ND4
MT-ND4,NDUFV2
MT-ND4L,MT-ND5
MT-ND4L,MT-ND3
MT-ND4L,MT-ND6
MT-ND4L,NDUFA1
MT-ND4L,NDUFA10
MT-ND4L,NDUFA11
MT-ND4L,NDUFA13
MT-ND4L,NDUFA2
MT-ND4L,NDUFA12
MT-ND4L,NDUFA3
MT-ND4L,NDUFA4
MT-ND4L,NDUFA7
MT-ND4L,NDUFA5
MT-ND4L,NDUFA6
MT-ND4L,NDUFA9
MT-ND4L,NDUFA8
MT-ND4L,NDUFB10
MT-ND4L,NDUFAB1
MT-ND4L,NDUFB1
MT-ND4L,NDUFB11
MT-ND4L,NDUFB2
MT-ND4L,NDUFB4
MT-ND4L,NDUFB5
MT-ND4L,NDUFB3
MT-ND4L,NDUFB6
MT-ND4L,NDUFB9
MT-ND4L,NDUFB7
MT-ND4L,NDUFC1
MT-ND4L,NDUFC2
